Query Builder;Query Builder
Selection;Auswahl
Resource URI;Ressourcen-URI
Mime Type;Mime-Typ
Upload File;Datei hochladen
Query Editor;Anfrageneditor
Saved Queries;Gespeicherte Anfragen
"You have to specify a projection variable called “?resourceUri” if you want to use the default list";"Sie müssen eine Projektions-Variable „?resourceUri“ definieren um die standard Listenausgabe zu nutzen"
Inline List:Inline Liste
Default List:Standard Liste
Output Format:Ausgabeformat
Get as file:Als Datei ausgeben
