execute pattern;Pattern ausführen
save pattern;Pattern speichern
view pattern;Pattern ansehen
new pattern;Pattern anlegen
export as;Exportieren als
edit pattern;Pattern bearbeiten
add subpattern;Teilpattern hinzufügen
discard changes;"Änderungen verwerfen"
action %s not allowed;Aktion %s nicht erlaubt.
back to list;Zurück zur Liste
export as;Exportiere als
HISTORY_ACTIONTYPE_3000;Evolution durchgeführt
back to detailview;Zurück zur Detailanzeige
proceed to execution;Weiter zur Ausführungsansicht
select no value;-- keine Angabe --
